,out-degree-weight,in-degree-weight,out-degree,in-degree,bot,bc,lcc,ac
147.32.84.165,2.0,0.0,1.0,0.0,0,0.0,0,3.0360121522052123e-05
147.32.80.9,0.0,8.0,0.0,2.0,0,0.0,0,0.00010709001768431219
74.125.232.204,0.0,28.0,0.0,2.0,0,0.0,0,8.313491166432134e-07
192.168.88.121,0.0,16.0,0.0,8.0,0,0.0,0,5.688178166506197e-07
195.113.232.90,0.0,16.0,0.0,1.0,0,0.0,0,5.688178166506197e-07
192.168.88.148,0.0,12.0,0.0,2.0,0,0.0,0,4.813073833197552e-07
147.32.96.69,0.0,16.0,0.0,4.0,0,0.0,0,0.9999989612271554
82.96.64.4,0.0,169.0,0.0,1.0,0,0.0,0,3.916091891556189e-06
38.229.70.20,0.0,87.0,0.0,1.0,0,0.0,0,2.1221280082734662e-06
195.113.232.98,0.0,387.0,0.0,4.0,0,0.0,0,1.0041822224716707e-05
91.212.135.158,0.0,65612.0,0.0,46.0,0,0.0,0,0.0014356524140094987
65.55.88.22,0.0,49.0,0.0,13.0,0,0.0,0,1.2907788916302522e-06
216.32.180.22,0.0,147.0,0.0,36.0,0,0.0,0,3.4347845082364343e-06
65.74.143.171,0.0,10.0,0.0,2.0,0,0.0,0,4.3755216665432286e-07
216.17.3.48,0.0,2.0,0.0,1.0,0,0.0,0,2.625312999925937e-07
218.213.85.200,0.0,7.0,0.0,2.0,0,0.0,0,3.719193416561744e-07
71.74.56.244,0.0,15.0,0.0,4.0,0,0.0,0,5.469402083179036e-07
74.6.136.65,0.0,3.0,0.0,1.0,0,0.0,0,2.844089083253099e-07
72.167.238.201,0.0,6.0,0.0,2.0,0,0.0,0,3.500417333234583e-07
213.165.64.100,0.0,45.0,0.0,16.0,0,0.0,0,1.2032684582993877e-06
64.59.134.8,0.0,156.0,0.0,31.0,0,0.0,0,3.63168298323088e-06
24.71.223.11,0.0,212.0,0.0,41.0,0,0.0,0,4.856829049862983e-06
74.125.43.27,0.0,22.0,0.0,6.0,0,0.0,0,7.000834666469165e-07
72.14.213.27,0.0,3.0,0.0,1.0,0,0.0,0,2.844089083253099e-07
216.32.181.178,0.0,55.0,0.0,18.0,0,0.0,0,1.422044541626549e-06
64.18.4.14,0.0,19.0,0.0,6.0,0,0.0,0,6.344506416487681e-07
216.163.188.57,0.0,2.0,0.0,1.0,0,0.0,0,2.625312999925937e-07
216.33.127.20,0.0,5.0,0.0,1.0,0,0.0,0,3.281641249907421e-07
168.61.70.66,0.0,13.0,0.0,3.0,0,0.0,0,5.031849916524713e-07
208.65.145.13,0.0,11.0,0.0,3.0,0,0.0,0,4.5942977498703903e-07
65.55.92.184,0.0,11.0,0.0,2.0,0,0.0,0,4.594297749870389e-07
206.46.232.11,0.0,38.0,0.0,8.0,0,0.0,0,1.0501251999703749e-06
64.98.36.4,0.0,57.0,0.0,11.0,0,0.0,0,1.4657997582919813e-06
216.163.188.54,0.0,94.0,0.0,18.0,0,0.0,0,2.2752712666024787e-06
64.191.223.38,0.0,68.0,0.0,13.0,0,0.0,0,1.706453449951859e-06
209.181.247.105,0.0,32.0,0.0,6.0,0,0.0,0,9.188595499740781e-07
64.18.7.13,0.0,23.0,0.0,4.0,0,0.0,0,7.219610749796326e-07
64.18.6.13,0.0,4.0,0.0,2.0,0,0.0,0,3.0628651665802595e-07
212.82.111.207,0.0,6.0,0.0,2.0,0,0.0,0,3.500417333234583e-07
94.228.131.162,0.0,3.0,0.0,1.0,0,0.0,0,2.844089083253099e-07
94.228.133.166,0.0,2.0,0.0,1.0,0,0.0,0,2.625312999925937e-07
65.55.37.88,0.0,3.0,0.0,1.0,0,0.0,0,2.844089083253099e-07
65.55.37.104,0.0,3.0,0.0,1.0,0,0.0,0,2.844089083253099e-07
64.136.44.37,0.0,13.0,0.0,3.0,0,0.0,0,5.031849916524713e-07
64.136.52.37,0.0,27.0,0.0,6.0,0,0.0,0,8.094715083104973e-07
94.228.131.154,0.0,4.0,0.0,1.0,0,0.0,0,3.0628651665802595e-07
165.212.8.32,0.0,10.0,0.0,2.0,0,0.0,0,4.3755216665432286e-07
74.125.67.27,0.0,82.0,0.0,16.0,0,0.0,0,2.012739966609885e-06
94.228.131.158,0.0,5.0,0.0,1.0,0,0.0,0,3.281641249907421e-07
205.178.149.7,0.0,19.0,0.0,4.0,0,0.0,0,6.344506416487681e-07
98.129.184.131,0.0,39.0,0.0,8.0,0,0.0,0,1.0720028083030911e-06
204.232.236.150,0.0,7.0,0.0,2.0,0,0.0,0,3.7191934165617446e-07
209.85.225.27,0.0,4.0,0.0,1.0,0,0.0,0,3.0628651665802595e-07
64.18.5.14,0.0,7.0,0.0,2.0,0,0.0,0,3.7191934165617446e-07
204.232.236.236,0.0,3.0,0.0,1.0,0,0.0,0,2.844089083253099e-07
168.61.70.65,0.0,4.0,0.0,1.0,0,0.0,0,3.0628651665802595e-07
94.245.120.86,0.0,46.0,0.0,16.0,0,0.0,0,1.2251460666321038e-06
209.198.87.210,0.0,15.0,0.0,3.0,0,0.0,0,5.469402083179036e-07
64.191.223.42,0.0,3.0,0.0,1.0,0,0.0,0,2.844089083253099e-07
64.18.5.10,0.0,10.0,0.0,2.0,0,0.0,0,4.3755216665432286e-07
202.0.183.130,0.0,3.0,0.0,1.0,0,0.0,0,2.844089083253099e-07
75.126.136.140,0.0,3.0,0.0,1.0,0,0.0,0,2.844089083253099e-07
204.11.209.99,0.0,4.0,0.0,1.0,0,0.0,0,3.0628651665802595e-07
216.99.131.24,0.0,4.0,0.0,1.0,0,0.0,0,3.0628651665802595e-07
204.232.236.156,0.0,3.0,0.0,1.0,0,0.0,0,2.844089083253099e-07
174.143.82.83,0.0,2.0,0.0,1.0,0,0.0,0,2.625312999925937e-07
216.203.33.173,0.0,3.0,0.0,1.0,0,0.0,0,2.844089083253099e-07
204.232.236.157,0.0,3.0,0.0,1.0,0,0.0,0,2.844089083253099e-07
12.39.227.100,0.0,3.0,0.0,1.0,0,0.0,0,2.844089083253099e-07
195.245.231.196,0.0,4.0,0.0,1.0,0,0.0,0,3.0628651665802595e-07
117.53.114.15,0.0,3.0,0.0,1.0,0,0.0,0,2.844089083253099e-07
74.125.47.27,0.0,32.0,0.0,11.0,0,0.0,0,9.188595499740778e-07
74.6.140.64,0.0,5.0,0.0,2.0,0,0.0,0,3.281641249907421e-07
202.108.252.141,0.0,25.0,0.0,6.0,0,0.0,0,7.657162916450649e-07
216.82.249.131,0.0,2.0,0.0,1.0,0,0.0,0,2.625312999925937e-07
204.232.236.141,0.0,3.0,0.0,1.0,0,0.0,0,2.844089083253099e-07
207.114.210.195,0.0,2.0,0.0,1.0,0,0.0,0,2.625312999925937e-07
213.165.64.102,0.0,56.0,0.0,14.0,0,0.0,0,1.4439221499592653e-06
217.11.54.110,0.0,17.0,0.0,4.0,0,0.0,0,5.906954249833358e-07
208.86.49.106,0.0,8.0,0.0,2.0,0,0.0,0,3.937969499888906e-07
77.238.184.241,0.0,24.0,0.0,6.0,0,0.0,0,7.438386833123489e-07
77.238.177.9,0.0,11.0,0.0,3.0,0,0.0,0,4.5942977498703903e-07
74.125.155.27,0.0,48.0,0.0,10.0,0,0.0,0,1.2689012832975363e-06
74.125.39.27,0.0,45.0,0.0,9.0,0,0.0,0,1.2032684582993877e-06
74.125.113.27,0.0,45.0,0.0,9.0,0,0.0,0,1.2032684582993877e-06
17.148.17.41,0.0,5.0,0.0,1.0,0,0.0,0,3.281641249907421e-07
71.74.56.243,0.0,9.0,0.0,3.0,0,0.0,0,4.156745583216067e-07
174.37.116.16,0.0,3.0,0.0,1.0,0,0.0,0,2.844089083253099e-07
143.90.14.37,0.0,4.0,0.0,1.0,0,0.0,0,3.0628651665802595e-07
65.55.92.136,0.0,3.0,0.0,1.0,0,0.0,0,2.844089083253099e-07
67.231.152.184,0.0,4.0,0.0,1.0,0,0.0,0,3.0628651665802595e-07
64.191.223.39,0.0,7.0,0.0,3.0,0,0.0,0,3.719193416561744e-07
217.72.192.188,0.0,8.0,0.0,2.0,0,0.0,0,3.937969499888905e-07
202.248.238.10,0.0,23.0,0.0,7.0,0,0.0,0,7.219610749796326e-07
202.225.89.133,0.0,6.0,0.0,1.0,0,0.0,0,3.500417333234583e-07
64.18.4.10,0.0,4.0,0.0,1.0,0,0.0,0,3.0628651665802595e-07
66.196.94.108,0.0,4.0,0.0,1.0,0,0.0,0,3.0628651665802595e-07
98.137.34.56,0.0,4.0,0.0,1.0,0,0.0,0,3.0628651665802595e-07
204.232.236.134,0.0,3.0,0.0,1.0,0,0.0,0,2.844089083253099e-07
74.125.148.13,0.0,5.0,0.0,1.0,0,0.0,0,3.281641249907421e-07
216.163.188.53,0.0,4.0,0.0,1.0,0,0.0,0,3.0628651665802595e-07
200.32.69.89,0.0,2.0,0.0,1.0,0,0.0,0,2.625312999925937e-07
174.143.82.74,0.0,3.0,0.0,1.0,0,0.0,0,2.844089083253099e-07
203.216.235.149,0.0,3.0,0.0,1.0,0,0.0,0,2.844089083253099e-07
202.131.66.91,0.0,15.0,0.0,3.0,0,0.0,0,5.469402083179036e-07
67.23.163.77,0.0,15.0,0.0,3.0,0,0.0,0,5.469402083179036e-07
85.13.242.172,0.0,15.0,0.0,3.0,0,0.0,0,5.469402083179036e-07
204.126.122.131,0.0,6.0,0.0,2.0,0,0.0,0,3.500417333234583e-07
165.21.74.114,0.0,2.0,0.0,1.0,0,0.0,0,2.625312999925937e-07
38.113.116.213,0.0,71.0,0.0,14.0,0,0.0,0,1.7720862749500075e-06
85.158.141.190,0.0,3.0,0.0,1.0,0,0.0,0,2.844089083253099e-07
72.4.117.22,0.0,21.0,0.0,7.0,0,0.0,0,6.782058583142003e-07
210.172.144.10,0.0,12.0,0.0,3.0,0,0.0,0,4.813073833197552e-07
150.70.74.47,0.0,3.0,0.0,1.0,0,0.0,0,2.844089083253099e-07
64.79.164.23,0.0,33.0,0.0,11.0,0,0.0,0,9.407371583067941e-07
70.182.136.222,0.0,32.0,0.0,11.0,0,0.0,0,9.188595499740781e-07
64.18.5.11,0.0,3.0,0.0,1.0,0,0.0,0,2.844089083253099e-07
208.87.233.190,0.0,3.0,0.0,1.0,0,0.0,0,2.844089083253099e-07
69.30.193.210,0.0,35.0,0.0,7.0,0,0.0,0,9.844923749722265e-07
168.61.70.64,0.0,10.0,0.0,2.0,0,0.0,0,4.3755216665432286e-07
204.232.236.145,0.0,4.0,0.0,1.0,0,0.0,0,3.0628651665802595e-07
204.232.236.135,0.0,3.0,0.0,1.0,0,0.0,0,2.844089083253099e-07
208.70.89.101,0.0,3.0,0.0,1.0,0,0.0,0,2.844089083253099e-07
204.232.236.146,0.0,2.0,0.0,1.0,0,0.0,0,2.625312999925937e-07
204.232.236.139,0.0,4.0,0.0,1.0,0,0.0,0,3.06286516658026e-07
202.30.143.100,0.0,3.0,0.0,1.0,0,0.0,0,2.844089083253099e-07
204.232.236.138,0.0,3.0,0.0,1.0,0,0.0,0,2.844089083253099e-07
75.180.132.244,0.0,6.0,0.0,1.0,0,0.0,0,3.500417333234583e-07
67.231.152.196,0.0,6.0,0.0,1.0,0,0.0,0,3.500417333234583e-07
64.18.5.13,0.0,2.0,0.0,1.0,0,0.0,0,2.625312999925937e-07
139.177.224.67,0.0,5.0,0.0,1.0,0,0.0,0,3.281641249907421e-07
216.178.38.92,0.0,20.0,0.0,5.0,0,0.0,0,6.563282499814842e-07
199.2.48.242,0.0,48.0,0.0,9.0,0,0.0,0,1.2689012832975361e-06
204.232.236.160,0.0,3.0,0.0,1.0,0,0.0,0,2.844089083253099e-07
199.185.220.200,0.0,4.0,0.0,1.0,0,0.0,0,3.0628651665802595e-07
74.6.136.244,0.0,8.0,0.0,2.0,0,0.0,0,3.937969499888905e-07
66.94.236.34,0.0,4.0,0.0,1.0,0,0.0,0,3.0628651665802595e-07
119.252.147.10,0.0,3.0,0.0,1.0,0,0.0,0,2.844089083253099e-07
207.115.20.20,0.0,3.0,0.0,1.0,0,0.0,0,2.844089083253099e-07
204.10.64.147,0.0,2.0,0.0,1.0,0,0.0,0,2.625312999925937e-07
147.32.84.138,1692.0,0.0,423.0,0.0,1,0.0,0,0.0020429176132184925
147.32.85.25,304.0,0.0,76.0,0.0,1,0.0,0,0.002042917613218501
147.32.84.59,60.0,0.0,3.0,0.0,0,0.0,0,7.655595836034456e-06
147.32.85.123,60.0,0.0,3.0,0.0,0,0.0,0,0.004028229834681449
147.32.85.8,32.0,0.0,8.0,0.0,0,0.0,0,0.0020429176132184946
217.118.66.105,0.21052631578947367,0.0,1.0,0.0,0,0.0,0,0.10869565217391305
147.32.84.229,19.0,0.0,1.0,0.0,0,7.791600654494455e-05,0,0.6028833551769331
147.32.86.58,172.0,0.0,1.0,0.0,0,0.0,0,0.003939365289464562
109.236.80.143,6.0,0.0,1.0,0.0,0,0.0,0,0.625
147.32.85.100,0.0,6.0,0.0,1.0,0,0.0,0,3.500417333234583e-07
147.32.86.110,20.0,0.0,5.0,0.0,0,0.0,0,0.0020429176132184946
76.13.114.90,0.0,323.0,0.0,18.0,0,0.0,0,7.285243574794475e-06
147.32.86.165,20.0,0.0,1.0,0.0,0,0.0,0,0.0040609466878918825
147.32.84.25,12.0,0.0,3.0,0.0,0,0.0,0,0.0020429176132184946
147.32.85.36,8.0,0.0,2.0,0.0,0,0.0,0,0.0020429176132184946
147.32.86.20,407.0,0.0,2.0,0.0,0,0.0,0,0.006620797779649257
188.138.84.239,0.0,796.0,0.0,10.0,0,0.0,0,1.763335231616921e-05
147.32.85.34,160.0,0.0,40.0,0.0,1,0.0,0,0.0020429176132184946
147.32.86.223,20.0,0.0,5.0,0.0,0,0.0,0,0.004034730964139312
147.228.47.183,0.0,52.0,0.0,2.0,0,0.0,0,1.3564117166284008e-06
209.85.149.106,0.0,49.0,0.0,1.0,0,0.0,0,1.2907788916302522e-06
147.32.86.194,173.0,0.0,1.0,0.0,0,0.0,0,0.0077250500196988795
93.185.96.116,0.0,20.0,0.0,1.0,0,0.0,0,6.563282499814842e-07
209.85.149.132,0.0,37.0,0.0,1.0,0,0.0,0,1.53143258329013e-06
147.32.86.168,40.0,0.0,10.0,0.0,0,0.0,0,0.004037989404315803
193.23.48.134,0.0,48.0,0.0,2.0,0,0.0,0,1.2689012832975361e-06
147.32.84.95,4.0,0.0,1.0,0.0,0,0.0,0,0.0020429176132184946
147.32.86.134,28.0,0.0,7.0,0.0,0,0.0,0,0.002042917613218428
147.32.86.27,105.0,0.0,1.0,0.0,0,0.0,0,0.008203445447087778
147.32.80.13,0.0,66.0,0.0,1.0,0,0.0,0,2.6668804557580975e-05
64.147.167.20,0.0,21.0,0.0,1.0,0,0.0,0,6.782058583142003e-07
147.32.84.19,0.0,2.375,0.0,0.5,0,1.2986001090824092e-05,0,0.014852011048098475
66.249.72.215,24.0,0.0,1.0,0.0,0,0.0,0,0.09999999999999996
147.32.84.188,0.0,66.0,0.0,2.0,0,0.0,0,2.1877608332716144e-06
147.32.84.216,16.0,0.0,4.0,0.0,0,0.0,0,0.0020429176132184946
147.32.86.50,20.0,0.0,5.0,0.0,0,0.0,0,0.0020429176132184946
147.32.86.187,40.0,0.0,10.0,0.0,0,0.0,0,0.0020429176132184946
194.149.128.141,9.0,0.0,1.0,0.0,0,0.0,0,0.5263157894736843
147.32.84.184,0.0,9.0,0.0,1.0,0,0.0,0,4.156745583216067e-07
147.32.85.7,76.0,0.0,19.0,0.0,1,0.0,0,0.0020429176132184946
147.32.86.131,2168.0,0.0,1.0,0.0,0,0.0,0,0.0028276704519748456
147.32.84.118,0.0,0.4375,0.0,0.6666666666666666,0,2.5972002181648184e-05,0,0.006874575393872733
8.19.240.53,0.0,24.0,0.0,1.0,0,0.0,0,1.1113825033019802e-06
147.32.84.130,4.0,0.0,1.0,0.0,0,0.0,0,0.0040609466878918825
77.75.72.3,0.0,20.0,0.0,5.0,0,0.0,0,6.563282499814842e-07
83.167.225.83,0.0,20.0,0.0,1.0,0,0.0,0,6.563282499814842e-07
147.32.85.89,97.0,0.0,1.0,0.0,0,0.0,0,0.00399843261441515
66.216.65.19,0.0,24.0,0.0,1.0,0,0.0,0,7.438386833123488e-07
147.32.86.92,12.0,0.0,3.0,0.0,0,0.0,0,0.004075843291977111
213.29.198.144,0.0,2.0,0.0,1.0,0,0.0,0,2.625312999925937e-07
147.32.84.21,8.0,0.0,2.0,0.0,0,0.0,0,0.0020429176132184946
147.32.84.36,4.0,0.0,1.0,0.0,0,0.0,0,0.0020429176132184946
121.8.210.43,32.75,0.0,1.0,0.0,0,0.0,0,0.04784688995215311
147.32.84.2,4.0,0.0,1.0,0.0,0,2.5972002181648184e-05,0,0.04269697811626654
87.98.230.229,0.0,1276.0,0.0,11.0,0,0.0,0,2.8134604315872963e-05
77.75.76.72,0.0,24.0,0.0,1.0,0,0.0,0,7.438386833123488e-07
74.125.232.220,0.0,813.0,0.0,2.0,0,0.0,0,1.8005271657825383e-05
199.59.149.232,0.0,60.0,0.0,3.0,0,0.0,0,1.5314325832901302e-06
147.32.85.60,20.0,0.0,5.0,0.0,0,0.0,0,0.0020429176132184946
147.32.84.189,4.0,0.0,1.0,0.0,0,0.0,0,0.0020429176132184946
192.167.1.152,0.8421052631578947,0.0,1.0,0.0,0,0.0,0,0.10869565217391308
147.32.84.164,4.0,0.0,1.0,0.0,0,0.0,0,0.0020429176132184946
147.32.85.23,8.0,0.0,2.0,0.0,0,0.0,0,0.0020429176132184946
147.32.84.171,12.0,0.0,3.0,0.0,0,0.0,0,0.004056005321478982
79.114.77.191,0.0,26.0,0.0,1.0,0,0.0,0,7.875938999777811e-07
147.32.85.87,24.0,0.0,6.0,0.0,0,0.0,0,0.0020429176132184946
147.32.86.111,20.0,0.0,5.0,0.0,0,0.0,0,0.0020429176132184946
68.233.5.80,0.0,60.0,0.0,3.0,0,0.0,0,1.5314325832901295e-06
147.32.84.132,4.0,0.0,1.0,0.0,0,0.0,0,0.7142857142857144
8.8.8.8,0.0,4.0,0.0,1.0,0,0.0,0,3.0628651665802595e-07
88.86.101.2,0.0,20.0,0.0,1.0,0,0.0,0,6.563282499814841e-07
147.32.85.103,4.0,0.0,1.0,0.0,0,0.0,0,0.0020429176132184946
147.32.85.76,20.0,0.0,1.0,0.0,0,0.0,0,0.0040609466878918825
188.235.74.14,3.263157894736842,0.0,1.0,0.0,0,0.0,0,0.10869565217391305
147.32.84.170,20.0,0.0,1.0,0.0,0,0.0,0,0.0040609466878918825
147.32.85.2,4.0,0.0,1.0,0.0,0,0.0,0,0.0020429176132184946
208.88.186.8,0.0,12.0,0.0,2.0,0,0.0,0,2.6340640432590235e-06
195.24.233.55,0.0,20.0,0.0,1.0,0,0.0,0,6.563282499814842e-07
149.119.215.170,0.0,36.0,0.0,1.0,0,0.0,0,1.0063699833049425e-06
147.32.86.186,23.0,0.0,1.0,0.0,0,0.0,0,0.30303030303030304
195.113.232.89,0.0,23.0,0.0,1.0,0,0.0,0,7.219610749796327e-07
217.31.58.184,0.0,20.0,0.0,1.0,0,0.0,0,6.563282499814842e-07
80.239.149.32,0.0,18.0,0.0,1.0,0,0.0,0,6.125730333160519e-07
209.85.148.104,0.0,148.0,0.0,1.0,0,0.0,0,3.45666211656915e-06
209.85.148.99,0.0,277.0,0.0,3.0,0,0.0,0,6.278873591489532e-06
83.167.252.8,0.0,2168.0,0.0,1.0,0,0.0,0,4.764943094865576e-05
66.194.55.249,17.0,0.0,3.0,0.0,0,0.0,0,0.04784688995215311
147.32.86.179,4.0,0.0,1.0,0.0,0,0.0,0,0.0020429176132184946
147.32.80.7,0.0,9.68421052631579,0.0,2.0,0,1.0,0,0.4539202200825303
147.32.86.171,4.0,0.0,1.0,0.0,0,0.0,0,0.0020429176132184946
74.125.232.196,0.0,62.0,0.0,2.0,0,0.0,0,1.5751877999555619e-06
147.32.86.176,4.0,0.0,1.0,0.0,0,0.0,0,0.0020429176132184946
74.125.232.193,0.0,16.0,0.0,1.0,0,0.0,0,5.688178166506198e-07
147.32.85.30,4.0,0.0,1.0,0.0,0,0.0,0,0.0020429176132184946
147.32.85.22,8.0,0.0,2.0,0.0,0,0.0,0,0.0020429176132184946
147.32.84.3,4.0,0.0,1.0,0.0,0,0.0,0,0.0020429176132184946
147.32.86.122,32.0,0.0,8.0,0.0,0,0.0,0,0.0020429176132184946
74.125.232.223,0.0,12.0,0.0,1.0,0,0.0,0,4.813073833197551e-07
187.54.14.129,7.0,0.0,1.0,0.0,0,0.0,0,0.588235294117647
147.32.85.117,180.0,0.0,1.0,0.0,0,0.0,0,0.008203445447087773
147.32.87.23,0.0,66.0,0.0,1.0,0,0.0,0,1.6626982332864265e-06
147.32.84.134,90.0,0.0,1.0,0.0,0,0.0,0,0.005979716800612324
209.85.148.103,0.0,12.0,0.0,1.0,0,0.0,0,4.813073833197552e-07
86.63.194.232,0.0,22.0,0.0,1.0,0,0.0,0,7.000834666469165e-07
62.84.143.246,0.0,24.0,0.0,1.0,0,0.0,0,7.438386833123488e-07
147.32.86.155,4.0,0.0,1.0,0.0,0,0.0,0,0.0020429176132184946
66.249.66.119,66.0,0.0,2.0,0.0,0,0.0,0,0.09999999999999999
147.32.84.13,132.0,0.0,4.0,0.0,0,0.0,0,0.00820344544708778
195.113.232.88,0.0,62.0,0.0,1.0,0,0.0,0,1.5751877999555619e-06
147.32.86.182,12.0,0.0,3.0,0.0,0,0.0,0,0.0020429176132184946
147.32.84.166,8.0,0.0,2.0,0.0,0,0.0,0,0.0020429176132184946
109.123.211.197,0.0,90.0,0.0,1.0,0,0.0,0,2.1877608332716144e-06
147.32.85.84,8.0,0.0,2.0,0.0,0,0.0,0,0.0020429176132184946
12.130.81.249,0.0,16.0,0.0,1.0,0,0.0,0,5.688178166506197e-07
90.183.39.86,0.0,104.0,0.0,2.0,0,0.0,0,2.4940473499296397e-06
75.101.227.132,0.0,30.0,0.0,1.0,0,0.0,0,8.751043333086455e-07
77.78.99.21,0.0,18.0,0.0,1.0,0,0.0,0,6.125730333160519e-07
94.245.121.176,0.0,22.0,0.0,1.0,0,0.0,0,7.000834666469165e-07
80.239.207.156,0.0,138.0,0.0,2.0,0,0.0,0,3.2378860332419893e-06
74.125.39.106,0.0,97.0,0.0,1.0,0,0.0,0,2.3409040916006273e-06
147.32.84.181,8.0,0.0,2.0,0.0,0,0.0,0,0.0020429176132184946
147.32.86.147,4.0,0.0,1.0,0.0,0,0.0,0,0.0020429176132184946
147.32.86.84,12.0,0.0,3.0,0.0,0,0.0,0,0.0020429176132184946
78.141.181.220,0.0,19.0,0.0,1.0,0,0.0,0,4.042982019885943e-06
147.32.84.94,66.0,0.0,1.0,0.0,0,0.0,0,0.008203445447087778
77.75.76.120,0.0,172.0,0.0,1.0,0,0.0,0,3.981724716554338e-06
147.32.84.215,9.0,0.0,2.0,0.0,0,0.0,0,0.5263157894736843
86.49.87.107,0.0,9.0,0.0,2.0,0,0.0,0,4.156745583216067e-07
147.32.84.68,20.0,0.0,1.0,0.0,0,0.0,0,0.33333333333333337
174.121.79.174,0.0,20.0,0.0,1.0,0,0.0,0,6.563282499814842e-07
85.117.39.179,18.0,0.0,1.0,0.0,0,0.0,0,0.35714285714285715
147.32.85.56,0.0,18.0,0.0,1.0,0,0.0,0,6.125730333160519e-07
93.186.224.240,0.0,37.0,0.0,1.0,0,0.0,0,1.0282475916376586e-06
77.75.77.9,0.0,20.0,0.0,1.0,0,0.0,0,6.563282499814842e-07
195.113.232.73,0.0,31.0,0.0,1.0,0,0.0,0,8.969819416413618e-07
88.86.102.7,0.0,173.0,0.0,1.0,0,0.0,0,4.003602324887054e-06
147.32.87.254,8.0,0.0,2.0,0.0,0,0.0,0,0.0020429176132184946
193.93.174.21,0.0,407.0,0.0,2.0,0,0.0,0,9.122962674742632e-06
195.113.232.80,0.0,60.0,0.0,3.0,0,0.0,0,1.5314325832901297e-06
